,price_steel,price_rebar,price_glass,price_concrete,price_plywood
2007-07-19,,,28.0,20.08823529411765,11.125
2007-07-20,,,28.0,19.0,9.0
2007-07-23,,,28.0,19.214285714285715,9.666666666666666
2007-07-24,,,28.0,17.616666666666667,8.666666666666666
2007-07-25,,,28.0,18.166666666666668,8.5
2007-07-26,,,28.0,18.183333333333334,8.0
2007-07-27,,,28.0,18.09375,8.0
2007-07-30,,,28.0,18.727272727272727,9.125
2007-07-31,,,28.5,18.727272727272727,7.25
2007-08-01,,,28.5,18.52173913043478,11.333333333333336
2007-08-02,,,28.5,18.52173913043478,11.166666666666664
2007-08-03,,,28.5,17.363636363636363,10.75
2007-08-06,,,28.5,17.40625,9.0
2007-08-07,,,27.0,16.342105263157894,9.0
2007-08-08,,,27.0,16.342105263157894,9.0
2007-08-09,,,24.0,14.538461538461535,9.0
2007-08-10,,,24.0,15.1875,11.5
2007-08-13,,,26.0,15.535714285714285,11.25
2007-08-14,,,26.0,15.535714285714285,11.25
2007-08-15,,,26.0,16.09375,11.5
2007-08-16,,,24.0,16.176470588235293,11.0
2007-08-17,,,24.0,14.9375,11.0
2007-08-20,,,24.0,14.9375,11.0
2007-08-21,,,24.0,16.555555555555557,9.5
2007-08-22,,,23.0,17.28846153846154,8.166666666666666
2007-08-23,,,,,
2007-08-24,,,,,
2007-08-27,,,23.0,18.236842105263158,8.75
2007-08-28,,,23.0,21.0,11.0
2007-08-29,,,23.0,20.19047619047619,10.166666666666666
2007-08-30,,,23.0,18.472222222222214,9.75
2007-08-31,,,23.0,18.472222222222214,9.75
2007-09-01,,,,,
2007-09-04,,,23.0,22.09375,11.5
2007-09-05,,,23.0,21.2,11.125
2007-09-06,,,23.0,21.23529411764705,13.0
2007-09-07,,,23.0,22.016129032258068,12.25
2007-09-10,,,23.0,21.85483870967742,15.0
2007-09-11,,,23.0,21.904761904761905,15.0
2007-09-12,,,23.0,23.038461538461537,12.75
2007-09-13,,,23.0,22.80357142857143,12.25
2007-09-14,,,23.0,22.532258064516128,12.25
2007-09-17,,,23.0,23.235294117647058,12.0
2007-09-18,,,23.0,22.40740740740741,12.0
2007-09-19,,,23.0,22.27586206896552,11.75
2007-09-20,,,23.0,22.27586206896552,11.25
2007-09-21,6.833333333333332,,23.0,22.76,9.5
2007-09-24,7.0,,23.0,22.67857142857143,11.0
2007-09-25,7.375,,23.0,21.890625,11.0
2007-09-26,7.5,,23.0,22.023809523809533,9.25
2007-09-27,9.0,,23.0,22.181818181818183,7.833333333333332
2007-09-28,9.916666666666666,,23.0,21.70833333333333,11.5
2007-10-01,10.833333333333336,,23.0,22.382352941176467,15.0
2007-10-02,10.375,,23.0,21.555555555555557,11.5
2007-10-03,11.5,,23.0,22.464285714285715,10.25
2007-10-04,10.125,,23.0,22.5,13.75
2007-10-05,8.833333333333334,,23.0,23.142857142857146,15.5
2007-10-08,,,,,
2007-10-09,11.0625,,23.0,29.8,16.75
2007-10-10,10.833333333333336,,23.0,25.92307692307693,16.75
2007-10-11,11.125,,23.0,25.92307692307693,18.25
2007-10-12,10.5,,23.0,25.92307692307693,
2007-10-15,10.0,,23.0,30.5,26.0
2007-10-16,11.0,,23.0,26.0,28.0
2007-10-17,11.9,,23.0,21.66666666666667,28.0
2007-10-18,11.666666666666664,,,22.0,28.0
2007-10-19,12.625,,,22.0,29.0
2007-10-22,16.166666666666668,,,33.666666666666664,26.5
2007-10-23,16.125,,,33.6,25.0
2007-10-24,14.1,,,33.6,25.0
2007-10-25,12.916666666666664,,,31.0,23.0
2007-10-26,12.916666666666664,,,31.0,21.0
2007-10-29,13.5,,,38.0,21.0
2007-10-30,13.666666666666664,,,38.0,19.75
2007-10-31,12.833333333333336,,,32.0,17.0
2007-11-01,15.25,,,32.0,13.1
2007-11-02,14.375,,,33.0,14.0
2007-11-05,13.875,,,36.0,12.5
2007-11-06,13.875,,,36.0,12.5
2007-11-07,12.5,,,36.0,12.25
2007-11-08,13.0,,,34.625,12.25
2007-11-09,11.666666666666664,,,34.0,9.666666666666666
2007-11-12,,,,,
2007-11-13,12.0,,,36.0,11.5
2007-11-14,13.5,,,36.0,13.5
2007-11-15,15.0,,,36.0,13.75
2007-11-16,15.0,,,34.666666666666664,13.75
2007-11-19,15.333333333333336,,,34.666666666666664,14.0
2007-11-20,15.333333333333336,,,34.5,12.5
2007-11-21,13.5,,,34.833333333333336,12.0
2007-11-23,12.125,,,,
2007-11-26,11.4,,,34.833333333333336,13.0
2007-11-27,12.5,,,34.833333333333336,11.5
2007-11-28,13.666666666666664,,,34.833333333333336,11.0
2007-11-29,13.666666666666664,,,34.833333333333336,9.75
2007-11-30,11.5,,,,
2007-12-01,,,,,
2007-12-03,17.333333333333332,,,,9.5
2007-12-04,17.0,,,,8.75
2007-12-05,16.8,,,,8.75
2007-12-06,17.0,,,,7.0
2007-12-07,17.125,,,,7.75
2007-12-10,16.2,,,,8.0
2007-12-11,16.5,,,,7.5
2007-12-12,14.25,,,,7.375
2007-12-13,20.0,,,,7.333333333333332
2007-12-14,15.5,,,,6.25
2007-12-17,17.75,,,,8.0
2007-12-18,21.33333333333333,,,,9.0
2007-12-19,26.0,,,,7.125
2007-12-20,18.33333333333333,,,,8.166666666666666
2007-12-21,18.33333333333333,,,,8.166666666666666
2007-12-24,,,,,
2007-12-26,18.25,,,,
2007-12-27,19.0,,,,7.5
2007-12-28,26.5,,,,7.5
2007-12-31,19.666666666666668,,,,14.0
2008-01-01,,,,,
2008-01-02,23.4,,,,13.5
2008-01-03,24.45,21.0,,,16.0
2008-01-04,20.65,,,,17.5
2008-01-07,16.0,,,,12.5
2008-01-08,19.0,,,,16.5
2008-01-09,15.75,,,,16.5
2008-01-10,,,,,16.5
2008-01-11,19.0,,,,16.5
2008-01-14,9.0,,,,19.0
2008-01-15,,,,,17.5
2008-01-16,,,,,19.0
2008-01-17,,,,,18.0
2008-01-18,,,,,15.666666666666664
2008-01-22,,,,,14.375
2008-01-23,,,,,12.875
2008-01-24,9.0,,,,14.0
2008-01-25,,,,,14.333333333333336
2008-01-28,,,,,13.75
2008-01-29,,,,,11.9
2008-01-30,,,,,12.8
2008-01-31,,,,,11.8
2008-02-01,,,,,11.1
2008-02-04,,,,,11.25
2008-02-05,,,,,9.833333333333334
2008-02-06,,,,,11.0
2008-02-07,,,,,10.833333333333336
2008-02-08,,,,,11.0
2008-02-11,,,,,11.0
2008-02-12,,,,,10.1
2008-02-13,,,,,9.2
2008-02-14,,,,,9.625
2008-02-15,,,,,8.166666666666666
2008-02-19,,,,,11.1
2008-02-20,,18.75,,,8.666666666666666
2008-02-21,,18.0,,,11.75
2008-02-22,,17.5,,,15.333333333333336
2008-02-25,,18.0,,,17.0
2008-02-26,,16.5,,,16.0
2008-02-27,,24.0,,,18.0
2008-02-28,,18.0,,,16.666666666666668
2008-02-29,,19.5,,,16.666666666666668
2008-03-01,,,,,
2008-03-03,,27.0,,,14.666666666666664
2008-03-04,,18.0,,,14.333333333333336
2008-03-05,,33.0,,,13.375
2008-03-06,,34.5,,,12.625
2008-03-07,,34.5,,,13.25
2008-03-10,,28.5,,,13.5
2008-03-11,,27.0,,,13.5
2008-03-12,,25.5,,,13.666666666666664
2008-03-13,,21.5,,,15.0
2008-03-14,,19.125,,,14.125
2008-03-17,,18.166666666666668,,,14.333333333333336
2008-03-18,,18.166666666666668,,,14.166666666666664
2008-03-19,,16.8,,,14.166666666666664
2008-03-20,,19.125,,,12.875
2008-03-21,,17.0,,,13.333333333333336
2008-03-24,,,,,
2008-03-25,,16.333333333333332,,,13.5
2008-03-26,8.0,19.5,,,12.7
2008-03-27,7.0,18.0,,,11.9
2008-03-28,7.0,18.0,,,11.9
2008-03-31,,17.0,,,11.75
2008-04-01,7.75,17.0,,,10.75
2008-04-02,7.625,15.0,,,10.333333333333334
2008-04-03,7.5,15.5,35.0,,10.0
2008-04-04,7.5,15.5,35.0,,10.0
2008-04-07,7.5,15.5,35.0,,11.166666666666664
2008-04-08,7.0,15.5,35.0,,11.333333333333336
2008-04-09,7.0,15.5,35.0,,11.75
2008-04-10,7.0,16.5,35.0,,11.25
2008-04-11,6.75,14.0,35.0,,9.5
2008-04-14,7.833333333333332,12.75,35.0,,10.5
2008-04-15,7.916666666666668,12.0,35.0,,10.5
2008-04-16,8.0,12.0,35.0,,10.666666666666666
2008-04-17,8.125,12.0,35.0,,11.5
2008-04-18,8.0,12.0,35.0,,11.5
2008-04-21,8.35,13.5,35.0,,10.25
2008-04-22,8.35,15.25,35.0,,10.125
2008-04-23,8.25,13.5,35.0,,9.375
2008-04-24,8.25,12.0,35.0,,9.9
2008-04-25,8.4,13.75,35.0,,9.0
2008-04-28,9.25,12.0,26.0,,9.0
2008-04-29,8.7,15.0,26.0,,12.5
2008-04-30,8.7,13.5,26.0,,12.833333333333336
2008-05-01,10.166666666666666,15.0,26.0,,16.0
2008-05-02,10.166666666666666,13.75,26.0,,15.75
2008-05-05,10.166666666666666,13.75,26.0,,15.0
2008-05-06,10.166666666666666,16.5,24.0,,14.5
2008-05-07,10.166666666666666,16.5,24.0,,14.25
2008-05-08,10.333333333333334,16.5,24.0,,15.5
2008-05-09,10.833333333333336,16.5,24.0,,15.166666666666664
2008-05-12,11.083333333333336,16.5,24.0,,15.0
2008-05-13,13.0,19.5,24.0,,14.25
2008-05-14,13.25,15.5,24.0,,13.1
2008-05-15,12.75,15.0,22.0,,13.25
2008-05-16,12.75,14.75,22.0,,12.0
2008-05-19,12.0,16.25,22.0,,11.0
2008-05-20,12.25,17.75,20.0,,9.875
2008-05-21,12.25,15.0,20.0,,9.0
2008-05-22,12.25,18.0,20.0,,8.25
2008-05-23,12.25,19.5,20.0,,8.25
2008-05-27,11.625,16.5,20.0,38.0,8.125
2008-05-28,11.625,17.25,20.0,38.5,11.0
2008-05-29,11.625,17.25,20.0,38.5,8.25
2008-05-30,11.5,14.25,20.0,29.6,8.0
2008-06-01,,,,,
2008-06-02,10.833333333333336,16.5,20.0,30.66666666666667,8.0
2008-06-03,10.25,16.5,20.0,30.0,7.7
2008-06-04,9.833333333333334,13.5,20.0,32.77777777777778,7.916666666666668
2008-06-05,9.583333333333334,18.0,20.0,32.333333333333336,9.1
2008-06-06,9.0,18.0,20.0,29.58333333333333,9.8
2008-06-09,8.833333333333334,18.0,20.0,28.066666666666666,10.833333333333336
2008-06-10,8.666666666666666,17.0,20.0,28.38888888888889,9.714285714285714
2008-06-11,8.25,18.25,20.0,29.142857142857146,11.25
2008-06-12,8.25,18.25,20.0,29.41666666666667,12.75
2008-06-13,8.25,17.5,20.0,29.41666666666667,12.75
2008-06-16,7.625,17.5,20.0,26.625,12.25
2008-06-17,7.75,16.5,20.0,26.625,12.0
2008-06-18,7.625,16.5,20.0,25.266666666666666,12.0
2008-06-19,7.625,13.0,16.0,24.785714285714285,14.0
2008-06-20,8.0,12.5,16.0,24.5625,12.5
2008-06-23,9.0,11.5,16.0,22.80769230769231,13.125
2008-06-24,9.75,11.5,16.0,22.884615384615394,13.25
2008-06-25,10.0,11.5,16.0,23.1,13.5
2008-06-26,10.0,,20.0,23.1,13.5
2008-06-27,10.0,,20.0,22.58333333333333,13.5
2008-06-30,10.0,,20.0,22.58333333333333,13.25
2008-07-01,9.416666666666666,,20.0,25.53333333333333,16.25
2008-07-02,9.25,,20.0,23.63157894736842,15.5
2008-07-03,9.333333333333334,,20.0,22.619047619047624,15.5
2008-07-07,9.166666666666666,,19.5,22.619047619047624,15.0
2008-07-08,8.0,,19.5,21.875,15.0
2008-07-09,7.0,,19.5,21.72916666666667,15.0
2008-07-10,6.833333333333332,,19.5,21.61111111111111,12.5
2008-07-11,6.833333333333332,,19.5,21.089285714285715,12.5
2008-07-14,6.833333333333332,,19.5,21.089285714285715,12.25
2008-07-15,6.833333333333332,,19.5,21.289473684210527,12.666666666666664
2008-07-16,6.75,,19.5,19.91304347826087,12.75
2008-07-17,7.0,,19.5,19.096774193548384,10.25
2008-07-18,6.5,,19.5,19.032258064516128,10.0
2008-07-21,6.75,,19.5,19.032258064516128,11.166666666666664
2008-07-22,7.0,,19.5,19.404761904761905,9.833333333333334
2008-07-23,7.0,,19.5,19.404761904761905,9.833333333333334
2008-07-24,7.0,,19.5,19.404761904761905,9.5
2008-07-25,7.75,,19.5,19.404761904761905,11.125
2008-07-28,7.25,,19.5,18.975,8.5
2008-07-29,7.25,19.5,19.5,19.83333333333333,8.5
2008-07-30,8.0,21.0,19.5,19.83333333333333,10.0
2008-07-31,8.4,22.5,19.5,19.22,9.75
2008-08-01,7.7,22.5,26.0,18.660714285714285,9.25
2008-08-04,11.25,19.75,26.0,17.547619047619047,10.5
2008-08-05,11.75,19.75,26.0,16.38888888888889,11.0
2008-08-06,11.75,19.75,26.0,15.907407407407408,11.0
2008-08-07,12.0,,26.0,,
2008-08-08,12.0,22.5,26.0,17.9,9.25
2008-08-11,13.0,18.75,26.0,16.825,9.25
2008-08-12,13.0,18.0,26.0,16.568181818181817,9.5
2008-08-13,13.5,17.5,26.0,15.60344827586207,9.5
2008-08-14,13.25,15.0,24.0,15.60344827586207,8.5
2008-08-15,13.25,16.5,24.0,15.530303030303033,8.5
2008-08-18,9.833333333333334,14.5,24.0,15.530303030303033,8.25
2008-08-19,,14.666666666666664,24.0,15.530303030303033,8.25
2008-08-20,,15.0,24.0,14.727272727272727,8.25
2008-08-21,,15.0,24.0,15.433333333333335,8.25
2008-08-22,,,24.0,,
2008-08-25,9.875,13.75,24.0,16.045454545454547,8.833333333333334
2008-08-26,9.875,13.25,22.0,16.73076923076923,8.666666666666666
2008-08-27,9.625,11.0,22.0,16.73076923076923,7.25
2008-08-28,9.5,13.25,22.0,17.88888888888889,7.25
2008-08-29,9.5,10.666666666666666,22.0,16.72222222222222,7.25
2008-09-01,,,,,
2008-09-02,8.333333333333334,10.833333333333336,22.0,16.1875,6.0
2008-09-03,8.333333333333334,10.666666666666666,22.0,16.1875,5.5
2008-09-04,8.333333333333334,13.666666666666664,22.0,16.1875,9.75
2008-09-05,7.5,12.833333333333336,22.0,16.9,8.5
2008-09-08,7.625,14.833333333333336,22.0,19.615384615384613,8.333333333333334
2008-09-09,7.625,14.833333333333336,22.0,20.38636363636364,9.0
2008-09-10,7.75,13.666666666666664,22.0,20.456521739130434,6.5
2008-09-11,7.75,13.666666666666664,22.0,20.74,7.75
2008-09-12,7.75,13.166666666666664,22.0,21.66666666666667,8.9
2008-09-15,7.75,19.5,22.0,22.09090909090909,9.666666666666666
2008-09-16,8.083333333333334,17.0,26.0,22.45,8.833333333333334
2008-09-17,7.833333333333332,19.0,26.0,22.80769230769231,10.5
2008-09-18,7.833333333333332,17.0,26.0,21.07894736842105,9.666666666666666
2008-09-19,7.833333333333332,17.0,26.0,21.176470588235293,10.25
2008-09-22,8.625,15.5,26.0,20.33333333333333,10.25
2008-09-23,7.75,15.0,26.0,20.53846153846154,9.75
2008-09-24,6.833333333333332,,26.0,20.633333333333333,8.5
2008-09-25,6.833333333333332,,26.0,20.633333333333333,8.75
2008-09-26,7.75,,26.0,20.821428571428573,8.25
2008-09-29,7.75,,26.0,20.84,8.375
2008-09-30,7.75,,26.0,20.428571428571427,8.375
2008-10-01,7.0,,26.0,17.133333333333333,8.25
2008-10-02,7.0,,26.0,16.86111111111111,8.25
2008-10-03,6.75,,26.0,16.61111111111111,8.25
2008-10-06,6.75,,26.0,17.392857142857142,8.5
2008-10-07,6.75,,26.0,16.763157894736842,11.0
2008-10-08,8.5,,26.0,16.763157894736842,11.0
2008-10-09,8.5,,26.0,17.210526315789473,12.0
2008-10-10,8.5,,26.0,16.666666666666668,13.5
2008-10-13,,,,,
2008-10-14,9.875,,26.0,17.3,12.75
2008-10-15,9.875,,26.0,15.1875,13.75
2008-10-16,11.5,22.5,26.0,17.166666666666668,13.75
2008-10-17,11.75,24.75,26.0,17.166666666666668,14.0
2008-10-20,11.166666666666664,30.0,28.0,18.15384615384616,14.25
2008-10-21,10.166666666666666,31.0,28.0,17.5,14.375
2008-10-22,10.25,31.0,28.0,17.5,14.25
2008-10-23,10.0,30.0,28.0,17.5,12.2
2008-10-24,8.666666666666666,24.0,28.0,17.5,12.2
2008-10-27,8.666666666666666,,28.0,19.428571428571427,9.7
2008-10-28,8.333333333333334,,28.0,19.428571428571427,10.5
2008-10-29,8.333333333333334,,28.0,19.428571428571427,9.75
2008-10-30,8.0,,28.0,14.777777777777779,8.625
2008-10-31,7.833333333333332,,28.0,14.777777777777779,8.5
2008-11-01,,,,,
2008-11-03,8.5,,28.0,18.625,7.0
2008-11-04,8.5,,28.0,18.625,7.083333333333332
2008-11-05,7.833333333333332,,28.0,18.25,6.833333333333332
2008-11-06,8.5,,28.0,18.25,7.333333333333332
2008-11-07,6.833333333333332,,28.0,16.6,7.583333333333332
2008-11-10,10.0,,28.0,17.8,8.75
2008-11-11,,,,,
2008-11-12,12.0,,28.0,17.416666666666668,8.0
2008-11-13,12.5,,28.0,18.928571428571427,8.0
2008-11-14,12.5,,28.0,18.8,8.0
2008-11-17,13.5,,28.0,17.5,8.5
2008-11-18,14.0,,28.0,17.5,8.5
2008-11-19,13.666666666666664,,28.0,29.0,7.75
2008-11-20,12.0,,28.0,29.0,7.875
2008-11-21,12.0,,28.0,,8.625
2008-11-24,,,28.0,,8.25
2008-11-25,18.0,,28.0,22.25,8.25
2008-11-26,,37.5,28.0,22.25,7.5
2008-11-28,13.0,,28.0,,
2008-12-01,14.0,37.5,28.0,25.5,9.0
2008-12-02,13.666666666666664,37.5,28.0,21.0,8.75
2008-12-03,14.1875,37.5,,21.0,8.75
2008-12-04,15.833333333333336,37.5,,20.5,8.75
2008-12-05,15.833333333333336,37.5,,,7.666666666666668
2008-12-08,21.66666666666667,43.5,,,8.75
2008-12-09,23.0,43.5,,21.0,8.75
2008-12-10,23.5,40.5,,21.0,8.75
2008-12-11,22.33333333333333,48.0,,21.0,8.25
2008-12-12,21.25,45.75,,,9.25
2008-12-15,23.0,39.0,,18.25,13.5
2008-12-16,22.66666666666667,43.16666666666666,,18.25,12.75
2008-12-17,21.875,40.5,,16.75,13.75
2008-12-18,23.5,40.833333333333336,,17.75,13.75
2008-12-19,23.0,41.0,,17.75,13.0
2008-12-22,26.625,36.0,,,12.25
2008-12-23,30.0,42.0,,,13.5
2008-12-24,26.0,46.5,,,13.75
2008-12-26,,,,,
2008-12-29,21.6,22.5,,,13.75
2008-12-30,20.75,18.166666666666668,,,14.5
2008-12-31,16.333333333333332,15.25,,,
2009-01-01,,,,,
2009-01-02,12.25,,,,
2009-01-05,11.2,14.333333333333336,,,20.0
2009-01-06,10.2,13.5,,,23.0
2009-01-07,9.833333333333334,15.333333333333336,,,25.0
2009-01-08,10.083333333333334,15.166666666666664,,,24.5
2009-01-09,8.857142857142858,15.0,,,23.66666666666667
2009-01-12,7.666666666666668,15.333333333333336,,,22.75
2009-01-13,8.0,16.666666666666668,,,23.66666666666667
2009-01-14,10.0,16.5,,,23.66666666666667
2009-01-15,10.0,16.666666666666668,,,24.5
2009-01-16,10.0,16.5,,,24.5
2009-01-20,9.25,14.4,,,25.5
2009-01-21,8.875,12.5,,,25.5
2009-01-22,8.875,12.1,,,25.5
2009-01-23,7.625,12.3,,,25.0
2009-01-26,9.25,12.875,,,27.5
2009-01-27,9.5,11.75,,,24.25
2009-01-28,9.5,11.583333333333336,,,23.5
2009-01-29,9.833333333333334,9.166666666666666,,,23.66666666666667
2009-01-30,9.916666666666666,8.0,,,21.5
2009-02-01,,,,,
2009-02-02,10.208333333333334,11.0,,,20.2
2009-02-03,9.85,11.75,,,17.9
2009-02-04,11.666666666666664,12.125,,,17.2
2009-02-05,12.0,11.1,,,15.0
2009-02-06,13.9,12.5,,,13.125
2009-02-09,14.3,21.0,,,14.6
2009-02-10,15.6,20.166666666666668,,,13.0
2009-02-11,15.583333333333336,24.5,,,13.166666666666664
2009-02-12,14.9,24.0,,,15.5
2009-02-13,14.5,23.0,,,14.5
2009-02-17,14.5,21.83333333333333,,,13.5
2009-02-18,15.6,23.25,,,13.5
2009-02-19,15.25,18.83333333333333,,,10.333333333333334
2009-02-20,15.333333333333336,18.0,,,10.75
2009-02-23,15.875,21.75,,,12.5
2009-02-24,12.666666666666664,25.0,,,11.333333333333336
2009-02-25,13.1,26.0,,,10.75
2009-02-26,11.75,21.0,,,11.75
2009-02-27,10.875,15.5,,,9.75
2009-03-01,,,,,
2009-03-02,10.8,,,,
2009-03-03,10.8,17.0,,,8.75
2009-03-04,10.8,18.5,,,10.0
2009-03-05,11.4,18.5,,,10.0
2009-03-06,11.4,20.5,,,8.5
2009-03-09,11.7,19.125,,,9.25
2009-03-10,11.8,18.75,,,9.25
2009-03-11,11.8,16.875,,,9.0
2009-03-12,11.7,20.0,,,9.0
2009-03-13,11.7,18.5,,,9.25
2009-03-16,11.7,19.5,,,11.833333333333336
2009-03-17,11.166666666666664,17.666666666666668,,,11.375
2009-03-18,10.25,17.0,,,11.5
2009-03-19,9.5,15.5,,,11.333333333333336
2009-03-20,8.5,14.5,,,11.333333333333336
2009-03-23,8.1,11.0,,,11.166666666666664
2009-03-24,7.357142857142858,11.0,,,11.125
2009-03-25,7.357142857142858,11.0,,,10.8
2009-03-26,7.4642857142857135,12.0,,,11.0
2009-03-27,7.392857142857142,10.625,,,11.0
2009-03-30,7.892857142857142,12.833333333333336,,,12.666666666666664
2009-03-31,8.392857142857142,11.166666666666664,,,12.25
2009-04-01,8.4375,13.0,,,11.0
2009-04-02,8.5,13.833333333333336,,,10.833333333333336
2009-04-03,8.38888888888889,12.0,,,10.5
2009-04-06,8.75,11.75,,,10.1
2009-04-07,8.464285714285714,17.0,,,10.1
2009-04-08,8.392857142857142,15.375,,,10.0
2009-04-09,8.392857142857142,14.25,,,9.4
2009-04-10,8.428571428571429,13.8,,,9.4
2009-04-13,8.428571428571429,,,,
2009-04-14,8.125,,,,
2009-04-15,6.625,10.5,,,10.5
2009-04-16,6.625,9.625,,,10.0
2009-04-17,5.375,9.25,,,10.125
2009-04-20,5.3125,7.833333333333332,,,10.416666666666666
2009-04-21,6.25,7.666666666666668,,,10.125
2009-04-22,6.25,9.25,30.0,,10.125
2009-04-23,6.25,8.4,30.0,,10.4
2009-04-24,6.25,9.875,30.0,,10.3
2009-04-27,7.0,10.25,30.0,,10.5
2009-04-28,8.708333333333334,12.5,30.0,,9.375
2009-04-29,8.458333333333334,14.5,30.0,,9.25
2009-04-30,8.607142857142858,13.5,30.0,,8.5
2009-05-01,8.678571428571429,13.5,30.0,,8.625
2009-05-04,8.166666666666666,17.5,30.0,,8.625
2009-05-05,8.4,16.25,30.0,,9.166666666666666
2009-05-06,8.714285714285714,15.0,30.0,,9.875
2009-05-07,8.291666666666666,15.0,30.0,,7.833333333333332
2009-05-08,7.25,15.25,30.0,,7.083333333333332
2009-05-11,6.625,13.0,20.0,,8.4
2009-05-12,5.75,11.166666666666664,20.0,,8.0
2009-05-13,5.75,11.166666666666664,20.0,,7.928571428571429
2009-05-14,5.375,11.75,20.0,,7.142857142857142
2009-05-15,7.25,9.333333333333334,20.0,,8.083333333333334
2009-05-18,8.083333333333334,9.333333333333334,20.0,,9.625
2009-05-19,8.25,8.666666666666666,20.0,,9.625
2009-05-20,8.0,8.666666666666666,20.0,,8.7
2009-05-21,8.0,8.3,20.0,,9.0
2009-05-22,7.833333333333332,8.083333333333334,20.0,,10.833333333333336
2009-05-26,8.166666666666666,7.333333333333332,20.0,33.42857142857143,11.0
2009-05-27,9.0,11.0,20.0,33.1,10.666666666666666
